Reference,DOI,Location,Species,Level,Turnover,Source,Notes
John 1968 in Jupp & Drew 1974 ,10.1016/0022-0981(74)90044-6,"Pettico Wick, St Abbs, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.7,Table 7,calculated as 2.1 kg organic dry mass m^−2 y^−1 (P) / 3 kg organic dry mass m^−2 (B)
John 1968 in Jupp & Drew 1974 ,10.1016/0022-0981(74)90044-6,"Pettico Wick, St Abbs, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.707692308,Table 7,calculated as 0.92 kg organic dry mass m^−2 y^−1 (P) / 1.3 kg organic dry mass m^−2 (B)
Lüning 1969,10.1007/bf00360961,"Helgoland, Germany",Laminaria hyperborea,Forest,0.63963964,Text,calculated as 1.4 kg dry mass m^−2 y^−1 (P) / ( 11.1 kg fresh mass m^−2 * 1.4 kg dry mass / 7.1 kg fresh mass ) (B)
Fuji & Kawamura 1970,10.2331/suisan.36.763,"Nishise Shoal, Hokkaido, Japan",Saccharina angustata,Forest,4.074240708,"Table 8, 9",calculated as annual sum of areal production / annual mean of areal biomass summed across age groups
Yoshida 1970 in Kamohara et al. 2009,10.2331/suisan.75.1027,"Matsushima Bay, Miyagi, Japan",Eisenia bicyclis,Forest,1.70212766,Table 4,"calculated as 20 kg wet mass m^−2 y^−1 (P) / annual mean biomass calculated as mean of summer and winter, so assumes these to be annual maximum and minimum"
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.745869565,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.001808511,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.790833333,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.00375,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.73,Table 3,calculated as P / B
